City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
539,Paragominas,BR,-2.9667,-47.4833,81.41,79,16,4.43,few clouds
540,Baykit,RU,61.67,96.37,58.01,77,83,1.25,broken clouds
541,Durango,MX,24.8333,-104.8333,69.8,57,7,4.5,clear sky
542,Catuday,PH,16.2923,119.8062,80.83,83,100,17.22,moderate rain
543,Tres Picos,MX,15.8667,-93.5333,85.8,65,30,3.51,scattered clouds
544,Hobyo,SO,5.3505,48.5268,78.12,72,97,27.76,overcast clouds
545,Vanimo,PG,-2.6741,141.3028,77.97,88,70,4.56,broken clouds
546,Belomorsk,RU,64.5232,34.7668,57.61,92,99,5.61,overcast clouds
547,Madaba,JO,31.5833,35.6667,92.08,28,0,10.49,clear sky
548,Srednekolymsk,RU,67.45,153.6833,45.05,74,64,12.1,broken clouds
549,Jiaozuo,CN,35.2397,113.2331,85.46,68,2,5.79,clear sky
550,Sooke,CA,48.3746,-123.7276,71.02,60,100,5.79,overcast clouds
551,Miraflores,MX,19.2167,-98.8083,59.65,66,29,3.27,scattered clouds
552,Nalut,LY,30.3333,10.85,103.91,7,0,10.89,clear sky
553,Kharp,RU,66.8014,65.8081,52.65,72,2,6.78,clear sky
554,Vyazovaya,RU,54.905,58.3561,66.79,91,76,5.99,broken clouds
555,Taksimo,RU,56.3444,114.8794,60.62,62,89,3.89,light rain
556,Camacha,PT,33.0833,-16.3333,74.16,64,40,18.41,scattered clouds
557,Canton,CN,23.1167,113.25,84.15,63,100,8.14,overcast clouds
558,Kuruman,ZA,-27.4524,23.4325,68.0,17,0,6.91,clear sky
559,Ikom,NG,5.9667,8.7063,80.67,86,100,2.26,moderate rain
560,Ivanteyevka,RU,55.9711,37.9208,79.14,41,7,8.01,clear sky
561,Krasnyy Oktyabr,RU,56.1167,38.8833,77.29,43,7,10.54,clear sky
562,Tokmak,UA,47.2514,35.7058,86.49,40,10,6.69,clear sky
563,Mogadishu,SO,2.0371,45.3438,76.98,79,95,18.23,overcast clouds
564,Paciran,ID,-6.8767,112.3761,78.71,77,49,4.0,scattered clouds
565,Ullapool,GB,57.8987,-5.1604,62.76,71,100,6.89,overcast clouds
566,Zhangye,CN,38.9342,100.4517,85.05,20,1,11.56,clear sky
